sample1,sample2,sample3,sample4,category
3513.086182,7043.28418,-2645.823975,6470.788086,straight
3007.601318,6188.45166,-3035.962891,6038.45166,straight
3525.541992,6332.3125,-2235.091309,6376.069336,straight
3801.641846,6463.109863,-1994.991699,6666.953125,straight
3583.923584,6062.087891,-2160.403809,6634.719238,straight
4173.790039,5387.870117,-2471.39502,7103.135742,straight
4706.866211,6205.967773,-2105.447754,7537.392578,straight
4306.760254,6163.714355,-2819.046875,7314.285156,straight
3875.609619,5927.57666,-3165.776611,6875.991211,straight
4178.850098,6417.416016,-2936.384277,7004.761719,straight
3560.195801,7066.720703,-2622.271973,6490.787109,straight
3026.179199,6197.780762,-3020.530273,6062.781738,straight
3475.425537,6329.202637,-2249.368408,6322.987305,straight
3834.532471,6460.733398,-1999.69458,6708.262207,straight
3621.881836,6075.609375,-2137.150879,6682.57666,straight
4143.5625,5389.891602,-2479.385254,7074.591309,straight
4717.062988,6215.423828,-2103.411377,7553.632813,straight
4352.516113,6186.877441,-2803.685303,7359.23291,straight
3867.840088,5923.31543,-3167.2146,6862.387207,straight
4158.009766,6399.967285,-2939.61377,6966.15625,straight
3606.075195,7073.70459,-2606.809326,6550.444336,straight
3006.348389,6200.733398,-3023.019043,6048.231445,straight
3429.493896,6318.063477,-2265.190186,6289.348633,straight
3847.612793,6462.163574,-1984.456421,6723.15625,straight
3650.011475,6078.693359,-2124.00708,6698.024414,straight
4102.739258,5378.759766,-2492.394531,7017.877441,straight
4695.407227,6213.106934,-2126.757568,7527.354492,straight
4390.130371,6191.165039,-2802.63623,7394.416016,straight
3835.147705,5927.184082,-3172.519775,6819.754395,straight
4105.473145,6389.961426,-2956.662109,6912.562012,straight
3654.28418,7081.059082,-2600.509521,6588.024414,straight
3018.598633,6210.721191,-3013.689941,6044.097168,straight
3380.686279,6298.96582,-2284.691895,6223.8125,straight
3879.272949,6474.40625,-1977.614258,6756.83252,straight
3664.987793,6103.43457,-2109.81958,6708.363281,straight
4061.52002,5364.145996,-2510.792969,6975.038574,straight
4687.401855,6196.443848,-2126.737061,7520.063477,straight
4437.47168,5223.61377,-2782.300537,7435.957031,straight
3807.014404,4961.499023,-3162.689453,6826.432129,straight
4076.281494,5401.455078,-2970.703613,6893.867676,straight
3699.075195,6111.334961,-2586.927979,6643.597656,straight
3004.960938,5229.563965,-3000.497314,6055.936035,straight
3343.94751,5317.053223,-2290.396973,6212.59082,straight
3897.802246,5469.403809,-1982.739746,6770.963379,straight
3699.617432,5114.161621,-2094.962891,6755.255859,straight
4021.774414,4365.882324,-2527.272949,6951.385742,straight
4680.634277,5209.257813,-2149.219482,7510.109863,straight
4475.4375,4244.996094,-2765.663574,7485.983887,straight
3787.759521,3964.338867,-3181.454346,6791.039551,straight
4037.362305,4406.737305,-2996.93335,6853.568848,straight
3751.648926,5134.4375,-2579.831543,6688.448242,straight
3017.4729,4253.507813,-3002.713379,6049.265625,straight
3288.684814,4307.368164,-2314.281982,6155.297363,straight
3922.098633,4503.075195,-1983.87854,6796.688477,straight
3733.633789,4151.584473,-2089.340088,6784.380371,straight
3962.618408,3394.561279,-2527.566406,6901.946289,straight
4682.128418,4219.338379,-2148.611816,7507.837891,straight
4531.918945,3292.938965,-2753.327393,6553.079102,straight
3780.505859,2975.963623,-3183.939453,5779.458008,straight
4008.252686,3426.111084,-3005.45459,5832.813477,straight
3802.894775,4167.817383,-2557.517578,5770.110352,straight
-6787.091797,-1613.168457,-2014.070801,-6699.557617,straight
-6543.128906,-1563.646606,-1345.763672,-6617.90625,straight
-5853.130371,-1375.303345,-1003.531067,-5917.765137,straight
-6041.378418,-1726.240601,-1105.088135,-5931.326172,straight
-5856.191406,-2496.334717,-1568.644897,-5873.557617,straight
